*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:17:53 2024 
|         5 |       666 |  6.66E-02 |  0.871130 |  0.914591 |     21.32 |     19.33 |  0.312310 |  0.215169 |  8.78E-03 |     40.54 | 
|         5 |       740 |  6.47E-02 |  0.890889 |  0.914591 |     21.32 |     19.31 |  0.180721 |  0.134502 |  8.73E-03 |     41.39 | 
|         5 |       814 |  6.22E-02 |  0.876895 |  0.914591 |     21.32 |     19.30 |  0.233821 |  0.130616 |  8.69E-03 |     42.23 | 
|         5 |       823 |  6.22E-02 |  0.873902 |  0.914591 |     21.32 |     19.30 |  0.283824 |  0.209671 |  8.68E-03 |     42.80 | 
|         6 |        74 |  4.60E-02 |  0.874870 |  0.914591 |     21.39 |     19.68 |  0.266789 |  0.195654 |  8.64E-03 |     43.05 | 
|         6 |       148 |  4.41E-02 |  0.911796 |  0.914591 |     21.49 |     19.70 |  0.212826 |  0.155447 |  8.59E-03 |     43.80 | 
|         6 |       222 |  4.31E-02 |  0.872928 |  0.914591 |     21.54 |     19.65 |  0.181548 |  0.135760 |  8.54E-03 |     44.59 | 
|         6 |       296 |  4.06E-02 |  0.891979 |  0.914591 |     21.57 |     19.51 |  0.238596 |  0.122642 |  8.50E-03 |     45.45 | 
|         6 |       370 |  4.06E-02 |  0.913898 |  0.914591 |     21.58 |     19.51 |  0.546531 |  0.403760 |  8.45E-03 |     46.26 | 
|         6 |       444 |  6.16E-02 |  0.893706 |  0.914591 |     21.54 |     19.51 |  0.186911 |  0.137650 |  8.40E-03 |     47.04 | 
|         6 |       518 |  5.99E-02 |  0.885622 |  0.914591 |     21.53 |     19.50 |  0.383118 |  0.274296 |  8.35E-03 |     47.80 | 
|         6 |       592 |  5.80E-02 |  0.896948 |  0.914591 |     21.56 |     19.48 |  0.145574 |  0.097754 |  8.30E-03 |     48.58 | 
|         6 |       666 |  5.58E-02 |  0.876998 |  0.914591 |     21.62 |     19.47 |  0.145126 |  0.107207 |  8.25E-03 |     49.36 | 
|         6 |       740 |  5.46E-02 |  0.875229 |  0.914591 |     21.68 |     19.50 |  0.181856 |  0.143443 |  8.20E-03 |     50.13 | 
|         6 |       814 |  5.35E-02 |  0.865426 |  0.914591 |     21.72 |     19.50 |  0.210217 |  0.158279 |  8.15E-03 |     50.91 | 
|         6 |       823 |  5.36E-02 |  0.875043 |  0.914591 |     21.73 |     19.51 |  0.350973 |  0.269553 |  8.15E-03 |     51.47 | 
|         7 |        74 |  3.69E-02 |  0.897297 |  0.914591 |     21.96 |     19.55 |  0.280572 |  0.207101 |  8.09E-03 |     51.73 | 
|         7 |       148 |  4.30E-02 |  0.880254 |  0.914591 |     21.93 |     19.47 |  0.296476 |  0.220173 |  8.04E-03 |     52.49 | 
|         7 |       222 |  4.10E-02 |  0.857745 |  0.914591 |     21.99 |     19.55 |  0.370069 |  0.272966 |  7.99E-03 |     53.27 | 
|         7 |       296 |  3.85E-02 |  0.883866 |  0.914591 |     22.06 |     19.53 |  0.106311 |  0.079265 |  7.94E-03 |     54.05 | 
|         7 |       370 |  3.73E-02 |  0.868659 |  0.914591 |     22.11 |     19.53 |  0.333841 |  0.246327 |  7.88E-03 |     54.82 | 
|         7 |       444 |  3.63E-02 |  0.880473 |  0.914591 |     22.15 |     19.50 |  0.091949 |  0.067526 |  7.83E-03 |     55.60 | 
|         7 |       518 |  4.26E-02 |  0.895803 |  0.914591 |     22.10 |     19.57 |  0.318895 |  0.240662 |  7.77E-03 |     56.39 | 
|         7 |       592 |  7.26E-02 |  0.909028 |  0.914591 |     21.99 |     19.60 |  0.535323 |  0.394567 |  7.72E-03 |     57.15 | 
|         7 |       666 |  7.57E-02 |  0.917774 |  0.917774 |     21.92 |     19.66 |  0.313292 |  0.181276 |  7.66E-03 |     57.93 | 
|         7 |       740 |  7.61E-02 |  0.913580 |  0.917774 |     21.98 |     19.76 |  0.318828 |  0.238563 |  7.61E-03 |     58.70 | 
|         7 |       814 |  7.91E-02 |  0.902388 |  0.917774 |     22.11 |     19.87 |  0.225834 |  0.184593 |  7.55E-03 |     59.49 | 
|         7 |       823 |  7.91E-02 |  0.901083 |  0.917774 |     22.13 |     19.89 |  0.753509 |  0.463782 |  7.54E-03 |     60.07 | 
|         8 |        74 |  6.91E-02 |  0.905315 |  0.917774 |     24.24 |     21.28 |  0.157482 |  0.116125 |  7.49E-03 |     60.34 | 
|         8 |       148 |  5.94E-02 |  0.905300 |  0.917774 |     24.26 |     20.96 |  0.171428 |  0.129311 |  7.43E-03 |     61.16 | 
|         8 |       222 |  5.43E-02 |  0.894642 |  0.917774 |     24.44 |     20.94 |  0.229188 |  0.193898 |  7.37E-03 |     61.98 | 
|         8 |       296 |  5.06E-02 |  0.895418 |  0.917774 |     24.42 |     20.77 |  0.391775 |  0.294698 |  7.31E-03 |     62.79 | 
|         8 |       370 |  4.85E-02 |  0.899142 |  0.917774 |     24.48 |     20.73 |  0.357429 |  0.271500 |  7.26E-03 |     63.61 | 
|         8 |       444 |  8.82E-02 |  0.896350 |  0.917774 |     24.34 |     20.67 |  1.347191 |  0.233068 |  7.20E-03 |     64.47 | 
|         8 |       518 |  1.10E-01 |  0.873974 |  0.917774 |     23.76 |     20.41 |  0.338729 |  0.213336 |  7.14E-03 |     65.34 | 
|         8 |       592 |  1.16E-01 |  0.892664 |  0.917774 |     23.42 |     20.30 |  0.682850 |  0.454994 |  7.08E-03 |     66.18 | 
|         8 |       666 |  1.14E-01 |  0.846635 |  0.917774 |     23.44 |     20.41 |  0.570825 |  0.415622 |  7.02E-03 |     66.97 | 
|         8 |       740 |  1.08E-01 |  0.878744 |  0.917774 |     23.46 |     20.46 |  0.194904 |  0.143533 |  6.96E-03 |     67.80 | 
|         8 |       814 |  1.02E-01 |  0.877131 |  0.917774 |     23.47 |     20.46 |  0.260076 |  0.190241 |  6.90E-03 |     68.63 | 
|         8 |       823 |  1.01E-01 |  0.878277 |  0.917774 |     23.48 |     20.47 |  0.129887 |  0.093510 |  6.89E-03 |     69.24 | 
|         9 |        74 |  4.03E-02 |  0.859348 |  0.917774 |     23.59 |     20.42 |  0.130628 |  0.094473 |  6.83E-03 |     69.53 | 
|         9 |       148 |  4.01E-02 |  0.873169 |  0.917774 |     23.95 |     20.62 |  0.205419 |  0.156811 |  6.77E-03 |     70.37 | 
|         9 |       222 |  4.00E-02 |  0.868841 |  0.917774 |     23.90 |     20.62 |  0.328898 |  0.251538 |  6.71E-03 |     71.22 | 
|         9 |       296 |  3.96E-02 |  0.901823 |  0.917774 |     23.90 |     20.50 |  0.171245 |  0.124690 |  6.65E-03 |     72.13 | 
|         9 |       370 |  4.70E-02 |  0.908322 |  0.917774 |     23.99 |     20.61 |  2.469876 |  0.697653 |  6.59E-03 |     72.97 | 
|         9 |       444 |  4.82E-02 |  0.890815 |  0.917774 |     24.03 |     20.62 |  0.162932 |  0.118111 |  6.52E-03 |     73.81 | 
|         9 |       518 |  4.67E-02 |  0.880767 |  0.917774 |     24.09 |     20.60 |  0.179452 |  0.129940 |  6.46E-03 |     74.70 | 
|         9 |       592 |  4.52E-02 |  0.874085 |  0.917774 |     24.23 |     20.63 |  0.193678 |  0.141790 |  6.40E-03 |     75.59 | 
|         9 |       666 |  4.63E-02 |  0.898415 |  0.917774 |     24.27 |     20.60 |  0.811006 |  0.598176 |  6.34E-03 |     76.50 | 
|         9 |       740 |  4.69E-02 |  0.910141 |  0.917774 |     24.34 |     20.65 |  0.132444 |  0.096055 |  6.27E-03 |     77.35 | 
|         9 |       814 |  4.58E-02 |  0.891152 |  0.917774 |     24.43 |     20.69 |  0.109115 |  0.079822 |  6.21E-03 |     78.21 | 
|         9 |       823 |  4.57E-02 |  0.894775 |  0.917774 |     24.44 |     20.69 |  0.141950 |  0.089767 |  6.20E-03 |     78.83 | 
|        10 |        74 |  3.89E-02 |  0.885906 |  0.917774 |     25.00 |     20.97 |  0.133794 |  0.097349 |  6.14E-03 |     79.10 | 
|        10 |       148 |  3.32E-02 |  0.882864 |  0.917774 |     25.04 |     20.66 |  0.162994 |  0.119643 |  6.08E-03 |     79.96 | 
|        10 |       222 |  3.21E-02 |  0.889512 |  0.917774 |     25.16 |     20.64 |  0.232954 |  0.160347 |  6.02E-03 |     80.85 | 
|        10 |       296 |  3.71E-02 |  0.889533 |  0.917774 |     25.22 |     20.82 |  0.268708 |  0.193139 |  5.95E-03 |     81.74 | 
|        10 |       370 |  3.65E-02 |  0.891729 |  0.917774 |     25.31 |     20.88 |  0.228332 |  0.168956 |  5.89E-03 |     82.61 | 
|        10 |       444 |  3.70E-02 |  0.880257 |  0.917774 |     25.32 |     20.87 |  0.113760 |  0.082320 |  5.83E-03 |     83.48 | 
