*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:12:52 2024 
|        14 |       259 |  1.09E-02 |  0.918114 |  0.948978 |     15.21 |     13.08 |  0.191985 |  0.122986 |  3.07E-03 |     39.49 | 
|        14 |       296 |  1.09E-02 |  0.903962 |  0.948978 |     15.21 |     13.07 |  0.075130 |  0.033699 |  3.01E-03 |     39.77 | 
|        14 |       333 |  1.08E-02 |  0.919818 |  0.948978 |     15.23 |     13.07 |  0.149727 |  0.045821 |  2.96E-03 |     40.05 | 
|        14 |       370 |  1.08E-02 |  0.918192 |  0.948978 |     15.23 |     13.06 |  0.089731 |  0.035628 |  2.91E-03 |     40.34 | 
|        14 |       407 |  1.08E-02 |  0.914727 |  0.948978 |     15.23 |     13.06 |  0.175856 |  0.100675 |  2.86E-03 |     40.62 | 
|        15 |        37 |  1.05E-02 |  0.912336 |  0.948978 |     15.16 |     13.05 |  0.109908 |  0.042886 |  2.80E-03 |     40.71 | 
|        15 |        74 |  1.05E-02 |  0.910269 |  0.948978 |     15.27 |     13.05 |  0.084008 |  0.033705 |  2.75E-03 |     41.00 | 
|        15 |       111 |  1.05E-02 |  0.915852 |  0.948978 |     15.25 |     13.05 |  0.063776 |  0.023078 |  2.70E-03 |     41.28 | 
|        15 |       148 |  1.05E-02 |  0.915870 |  0.948978 |     15.24 |     13.04 |  0.140487 |  0.057910 |  2.65E-03 |     41.56 | 
|        15 |       185 |  1.03E-02 |  0.914964 |  0.948978 |     15.22 |     13.04 |  0.070623 |  0.034816 |  2.60E-03 |     41.84 | 
|        15 |       222 |  1.04E-02 |  0.915507 |  0.948978 |     15.23 |     13.05 |  0.118709 |  0.049990 |  2.55E-03 |     42.13 | 
|        15 |       259 |  1.04E-02 |  0.922200 |  0.948978 |     15.24 |     13.05 |  0.084757 |  0.036773 |  2.51E-03 |     42.41 | 
|        15 |       296 |  1.03E-02 |  0.919015 |  0.948978 |     15.25 |     13.04 |  0.106231 |  0.053386 |  2.46E-03 |     42.69 | 
|        15 |       333 |  1.02E-02 |  0.923888 |  0.948978 |     15.24 |     13.05 |  0.106584 |  0.034074 |  2.41E-03 |     42.98 | 
